116;"MOTORISTA OFICINA";3;"782510";0;05/12/18;05/12/18;05/12/18;?;0;1;1;1;1;"TRANSPORTE DE PEÇAS, FERRAMENTAS E TUDO QUE DIZ RESPEITO A OFICINA MECÂNICA.";"";"msantos";05/12/18;"115140";"";"";?;?;no;no;0;0;0;0;1
117;"TRATORISTA TRAINEE";3;"641015";0;23/04/13;23/04/13;23/04/13;?;0;1;1;1;2;"";"";"LUCIMAR";23/04/13;"083208";"";"";?;?;no;no;0;0;0;0;1
118;"OPERADOR DE COLHEDORA TRAINEE";3;"641005";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;2;"";"";"lucimar";10/12/15;"165406";"";"";?;?;no;no;0;0;0;0;1
119;"MECÂNICO TRAINNE";3;"913115";0;29/05/13;29/05/13;29/05/13;?;0;1;1;1;1;"";"";"LUCIMAR";29/05/13;"094357";"";"";?;?;no;no;0;0;0;0;1
120;"SUPERVISOR AGRICOLA";3;"620105";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;2;"";"";"lucimar";10/12/15;"165848";"";"";?;?;no;no;0;0;0;0;1
121;"LIDER AGRICOLA JR";3;"620105";0;02/04/19;02/04/19;02/04/19;?;0;1;1;1;1;"";"";"msantos";02/04/19;"195544";"";"";?;?;no;no;0;0;0;0;1
122;"LIDER AGRICOLA PL";3;"620105";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;1;"";"";"msantos";01/04/19;"100821";"";"";?;?;no;no;0;0;0;0;1
123;"FISCAL DE PRODUÇÃO II";3;"620105";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;1;"";"";"amagro";19/08/22;"144129";"";"";?;?;no;no;0;0;0;0;1
124;"FISCAL DE PRODUÇÃO I";3;"620105";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;1;"";"";"amagro";19/08/22;"144133";"";"";?;?;no;no;0;0;0;0;1
125;"GERENTE FINANCEIRO I";3;"142115";0;06/06/13;06/06/13;06/06/13;?;0;1;1;1;1;"";"";"ELLEN";06/06/13;"064523";"";"";?;?;no;no;0;0;0;0;1
126;"GERENTE FINANCEIRO II";3;"142115";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;1;"";"";"lucimar";10/12/15;"164222";"";"";?;?;no;no;0;0;0;0;1
127;"CAMPEIRO";3;"623015";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;2;"";"";"lucimar";10/12/15;"163441";"";"";?;?;no;no;0;0;0;0;1
128;"COORDENADOR DE MANUT MECANICA";3;"910105";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;102;"";"";"gmoreno";09/10/19;"163230";"";"";?;?;no;no;0;0;0;0;1
